Admin2,Admn2code,Admin1,Admn1code,Admin0,Admin0code
Tesseney,ER513,Gash Barka,ER5,Eritrea,ER
Asseb,ER104,Debubawi Keih Bahri,ER1,Eritrea,ER
Araeta,ER101,Debubawi Keih Bahri,ER1,Eritrea,ER
Dahlak,ER303,Semienawi Keih Bahri,ER3,Eritrea,ER
Debub Deb.Keih Bahri,ER103,Debubawi Keih Bahri,ER1,Eritrea,ER
Maekel Deb.Keih Bahri,ER102,Debubawi Keih Bahri,ER1,Eritrea,ER
Ghelaelo,ER301,Semienawi Keih Bahri,ER3,Eritrea,ER
Foro,ER302,Semienawi Keih Bahri,ER3,Eritrea,ER
May Aini,ER612,Debub,ER6,Eritrea,ER
Adi Quala,ER609,Debub,ER6,Eritrea,ER
Emni Haili,ER610,Debub,ER6,Eritrea,ER
Mendefera,ER603,Debub,ER6,Eritrea,ER
Maimine,ER611,Debub,ER6,Eritrea,ER
Shambuko,ER506,Gash Barka,ER5,Eritrea,ER
Akurdet,ER503,Gash Barka,ER5,Eritrea,ER
Haykota,ER510,Gash Barka,ER5,Eritrea,ER
Forto,ER509,Gash Barka,ER5,Eritrea,ER
Gogne,ER508,Gash Barka,ER5,Eritrea,ER
Dige,ER504,Gash Barka,ER5,Eritrea,ER
Sela,ER410,Anseba,ER4,Eritrea,ER
Kerkebet,ER409,Anseba,ER4,Eritrea,ER
Halhal,ER406,Anseba,ER4,Eritrea,ER
Hagaz,ER405,Anseba,ER4,Eritrea,ER
Keren,ER404,Anseba,ER4,Eritrea,ER
Elabered,ER402,Anseba,ER4,Eritrea,ER
Karura,ER309,Semienawi Keih Bahri,ER3,Eritrea,ER
Adobha,ER310,Semienawi Keih Bahri,ER3,Eritrea,ER
Nakfa,ER308,Semienawi Keih Bahri,ER3,Eritrea,ER
Habero,ER407,Anseba,ER4,Eritrea,ER
Afabet,ER307,Semienawi Keih Bahri,ER3,Eritrea,ER
Asmat,ER408,Anseba,ER4,Eritrea,ER
Mensura,ER502,Gash Barka,ER5,Eritrea,ER
Logo Anseba,ER501,Gash Barka,ER5,Eritrea,ER
Shieb,ER306,Semienawi Keih Bahri,ER3,Eritrea,ER
Adi Tekeliezan,ER401,Anseba,ER4,Eritrea,ER
Dekemhare,ER604,Debub,ER6,Eritrea,ER
Dbarwa,ER601,Debub,ER6,Eritrea,ER
Berik,ER202,Maekel,ER2,Eritrea,ER
Ghinda,ER305,Semienawi Keih Bahri,ER3,Eritrea,ER
Semienawi Mierab,ER207,Maekel,ER2,Eritrea,ER
Semienawi Mibrak,ER204,Maekel,ER2,Eritrea,ER
Debubawi Mierab,ER206,Maekel,ER2,Eritrea,ER
Galanefhi,ER203,Maekel,ER2,Eritrea,ER
Debubawi Mibrak,ER205,Maekel,ER2,Eritrea,ER
Serejeka,ER201,Maekel,ER2,Eritrea,ER
Massawa,ER304,Semienawi Keih Bahri,ER3,Eritrea,ER
Adi Keyh,ER606,Debub,ER6,Eritrea,ER
Segeneity,ER605,Debub,ER6,Eritrea,ER
Areza,ER602,Debub,ER6,Eritrea,ER
Molqi,ER514,Gash Barka,ER5,Eritrea,ER
Mogolo,ER505,Gash Barka,ER5,Eritrea,ER
Barentu,ER507,Gash Barka,ER5,Eritrea,ER
Tsorona,ER608,Debub,ER6,Eritrea,ER
Senafe,ER607,Debub,ER6,Eritrea,ER
Gheleb,ER403,Anseba,ER4,Eritrea,ER
Hamelmalo,ER411,Anseba,ER4,Eritrea,ER
Omhajer,ER512,Gash Barka,ER5,Eritrea,ER
Lalay Gash,ER511,Gash Barka,ER5,Eritrea,ER
