admin2Name_Banadir_en,admin2Pcode_Banadir,admin2RefName_Banadir,admin2AltName1_Banadir_en,admin2AltName2_Banadir_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Waaberi,SO220102,Waaberi,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Hamar Jabjab,SO220103,Hamar Jabjab,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Hamar Weyne,SO220101,Hamar Weyne,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Shangaani,SO220112,Shangaani,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Cabdulasiis,SO220109,Cabdulasiis,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Shibis,SO220108,Shibis,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Bondhere,SO220107,Bondhere,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Wardhigley,SO220106,Wardhigley,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Hawl Wadaag,SO220104,Hawl Wadaag,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Hodan,SO220105,Hodan,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Wadajir (Medina),SO220113,Wadajir (Medina),,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Dharkenley,SO220114,Dharkenley,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Dayniile,SO220116,Dayniile,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Yaaqshid,SO220111,Yaaqshid,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Karaan,SO220110,Karaan,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
Heliwa,SO220115,Heliwa,,,Banadir,SO2201,Banadir,SO22,Somalia,SO,2017-03-28,2017-04-05,
