admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Central Equatoria,SS01,,,,South Sudan,SS,2018-08-15,2018-08-17,
Eastern Equatoria,SS02,,,,South Sudan,SS,2018-08-15,2018-08-17,
Jonglei,SS03,,,,South Sudan,SS,2018-08-15,2018-08-17,
Lakes,SS04,,,,South Sudan,SS,2018-08-15,2018-08-17,
Northern Bahr el Ghazal,SS05,,,,South Sudan,SS,2018-08-15,2018-08-17,
Unity,SS06,,,,South Sudan,SS,2018-08-15,2018-08-17,
Upper Nile,SS07,,,,South Sudan,SS,2018-08-15,2018-08-17,
Warrap,SS08,,,,South Sudan,SS,2018-08-15,2018-08-17,
Western Bahr el Ghazal,SS09,,,,South Sudan,SS,2018-08-15,2018-08-17,
Western Equatoria,SS10,,,,South Sudan,SS,2018-08-15,2018-08-17,
