admin3Name_fr,admin3Pcode,admin3RefName,admin3Name_MAJ,admin3AltName1_fr,admin3AltName2_fr,admin3ChefLieu,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Ngouri,TD070201,Ngouri,NGOURI,,,Ngouri,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Bol,TD070101,Bol,BOL,,,Bol,Mamdi,TD0701,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Baga-Sola,TD070301,Baga-Sola,BAGA-SOLA,,,Baga-Sola,Kaya,TD0703,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Daboua,TD070402,Daboua,DABOUA,,,Daboua,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kangalom,TD070102,Kangalom,KANGALOM,,,Kangalom,Mamdi,TD0701,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Liwa,TD070401,Liwa,LIWA,,,Liwa,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Doum-Doum,TD070202,Doum-Doum,DOUM-DOUM,,,Doum-Doum,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kouloudia,TD070203,Kouloudia,KOULOUDIA,,,Kouloudia,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Ngouboua,TD070302,Ngouboua,NGOUBOUA,,,Ngouboua,Kaya,TD0703,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kaiga-Kindjiria,TD070403,Kaiga-Kindjiria,KAIGA-KINDJIRIA,,,Kaiga-Kindjiria,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
